0,1,2,3,4
219.0,90.46,12.0943,12.0,3.0
220.0,28.193,5.2692,5.33,1.0
221.0,69.391,10.0118,9.33,1.0
222.0,49.64,7.8857,0.0,0.0
223.0,177.3,19.5371,19.0,3.0
224.0,45.403,7.3999,7.0,1.0
225.0,41.708,6.9655,7.0,1.0
226.0,138.658,16.3973,16.0,3.0
227.0,218.948,22.7072,21.33,2.0
228.0,43.681,7.1988,7.0,1.0
229.0,56.279,8.6237,9.0,2.0
230.0,52.617,8.2199,9.0,1.0
231.0,345.809,31.4503,31.0,2.0
232.0,56.276,8.6233,9.0,2.0
233.0,36.69,6.3574,0.0,0.0
234.0,38.646,6.5971,7.0,1.0
235.0,118.351,14.6474,16.0,2.0
236.0,40.931,6.8728,7.0,1.0
237.0,63.334,9.3809,9.33,2.0
238.0,30.728,5.6026,5.33,1.0
239.0,37.37,6.4411,7.0,1.0
240.0,38.389,6.5658,7.0,1.0
242.0,219.216,22.727,21.33,2.0
243.0,166.783,18.7039,19.0,2.0
244.0,54.314,8.408,9.0,1.0
245.0,173.591,19.2449,19.0,2.0
246.0,152.46,17.5445,17.33,2.0
247.0,165.54,18.6045,19.0,2.0
248.0,166.418,18.6748,19.0,2.0
249.0,53.572,8.326,9.0,1.0
250.0,28.427,5.3003,5.33,1.0
251.0,40.975,6.8781,7.0,1.0
252.0,40.248,6.7909,7.0,1.0
253.0,60.285,9.0568,9.0,2.0
254.0,127.188,15.4187,16.0,2.0
255.0,41.724,6.9674,7.0,1.0
257.0,46.375,7.5125,7.0,1.0
258.0,167.396,18.7529,19.0,2.0
259.0,157.482,17.9545,17.33,2.0
260.0,172.963,19.1953,19.0,2.0
261.0,39.896,6.7485,7.0,1.0
262.0,52.102,8.1625,0.0,0.0
263.0,51.44,8.0884,0.0,0.0
264.0,43.882,7.2224,7.0,1.0
265.0,71.2,10.1972,0.0,0.0
266.0,233.234,23.7534,25.0,2.0
267.0,43.576,7.1865,7.0,1.0
268.0,168.92,18.8744,19.0,2.0
269.0,157.95,17.9925,17.33,2.0
270.0,46.44,7.52,7.0,1.0
271.0,174.079,19.2835,19.0,2.0
272.0,18.762,3.9418,4.0,2.0
273.0,59.578,8.981,9.0,2.0
274.0,149.844,17.3295,17.33,4.0
275.0,38.867,6.624,7.0,1.0
276.0,40.739,6.8498,7.0,1.0
277.0,37.313,6.4341,7.0,1.0
278.0,148.317,17.2034,17.33,3.0
279.0,166.452,18.6775,19.0,2.0
280.0,35.525,6.2129,0.0,0.0
281.0,76.174,10.6999,0.0,0.0
283.0,32.684,5.8545,0.0,0.0
285.0,52.974,8.2596,9.0,1.0
286.0,17.171,3.7006,4.0,2.0
288.0,164.018,18.4824,19.0,2.0
289.0,109.871,13.8915,13.0,1.0
290.0,157.498,17.9558,17.33,2.0
291.0,77.367,10.8191,0.0,0.0
292.0,40.931,6.8728,7.0,1.0
293.0,36.566,6.3421,0.0,0.0
294.0,151.924,17.5006,17.33,2.0
295.0,142.563,16.7251,17.33,3.0
297.0,54.279,8.4041,9.0,1.0
298.0,138.036,16.3448,16.0,3.0
299.0,31.674,5.725,5.33,1.0
300.0,169.285,18.9035,19.0,1.0
301.0,38.347,6.5607,7.0,1.0
302.0,131.384,15.7795,16.0,3.0
303.0,175.72,19.4128,19.0,3.0
304.0,87.603,11.8208,12.0,2.0
305.0,158.621,18.0469,17.33,2.0
306.0,39.62,6.7152,7.0,1.0
307.0,34.815,6.1241,0.0,0.0
308.0,18.397,3.887,4.0,2.0
309.0,49.433,7.8623,0.0,0.0
310.0,66.676,9.7311,9.33,2.0
312.0,43.081,7.1282,7.0,1.0
313.0,47.724,7.6676,0.0,0.0
314.0,21.129,4.2902,4.0,2.0
315.0,140.903,16.5861,16.0,3.0
316.0,159.837,18.1454,17.33,2.0
317.0,109.96,13.8995,13.0,1.0
318.0,33.593,5.9701,0.0,0.0
319.0,38.275,6.5519,7.0,1.0
320.0,40.003,6.7614,7.0,1.0
321.0,138.715,16.4021,16.0,3.0
322.0,41.475,6.9378,7.0,1.0
323.0,36.969,6.3918,7.0,1.0
324.0,47.8,7.6763,0.0,0.0
325.0,42.906,7.1075,7.0,1.0
